t=10,T1,T2,T3,T4,T5,T6,T7,T8,T9
0.0,30.0,10.0,30.0,10.0,30.0,10.0,30.0,10.0,30.0
0.01,30.663683323084005,10.020287666189766,29.435431994270687,10.033798675304658,30.000955107543515,9.919500214630533,30.5800418593516,10.020220351566458,29.357641761244565
0.02,31.348061380785722,10.080747991006291,28.887976331389815,10.066499209422766,30.00197989456328,9.836127850016249,31.175253928599417,10.080253314182842,28.737215218220022
0.03,32.052486159738834,10.181474223740926,28.35844890905633,10.098136233181771,30.003075545618444,9.749807547691866,31.784749773992083,10.179854497883706,28.139291007811366
0.04,32.77628550286038,10.322511430414183,27.847644716642,10.128745842938871,30.00424331175056,9.660467549180707,32.40762547818084,10.318731682864835,27.5644127536702
0.05,33.51876430366382,10.50385687161137,27.356336878075762,10.158365535210292,30.005484508117974,9.568039766388262,33.04296111323201,10.496545691793646,27.01309653299827
0.06,34.279205316913185,10.725459949051631,26.885275694595915,10.187034163447535,30.006800512539737,9.472459867699056,33.689821834900535,10.712910752604554,26.48583022670416
0.07,35.05686992734021,10.987222130715192,26.435187712993756,10.214791897136806,30.008192764126395,9.37366736259728,34.347258927463194,10.967394824510263,25.983072880782107
0.08,35.85099897243186,11.288997093327682,26.00677494935181,10.241680177225298,30.009662761711446,9.271605664651783,35.01431085431461,11.259520112529483,25.505254230291992
0.09,36.66081391357411,11.630590891499915,25.60071375069776,10.26774165279637,30.01121206163456,9.166222185326873,35.690004763482364,11.58876377479631,25.05277399051751
0.1,37.485517467159674,12.011762194528446,25.21765432619518,10.293020146425219,30.012842276480363,9.057468366442315,36.37335725418706,11.95455841199182,24.626001611089013
0.11,38.32429469547729,12.432222548822597,24.85821979094611,10.317560594819334,30.014555072965695,8.94529975453035,37.063375746957526,12.356292804101013,24.22527571369894
0.12,39.176313953023275,12.891636707682025,24.523005437931577,10.341408996961611,30.016352170060138,8.82967605265372,37.759059640778815,12.793312625410497,23.850903699755666
0.13,40.040727887515786,13.389623038409814,24.212578025732057,10.364612359047994,30.01823533697142,8.71056116798472,38.45940151920309,13.264921244086896,23.50316138977726
0.14,40.916674446343954,13.925753961238799,23.927475091781186,10.387218639020679,30.020206391106292,8.587923255966915,39.16338835390728,13.770380548074412,23.182292688476664
0.15,41.80327791195609,14.499556471771488,23.66820431627521,10.409276689253714,30.02226719594058,8.46173475694761,39.870002721032364,14.308911847321285,22.888509306406114
0.16,42.69964992677173,15.110512631861624,23.435242866428172,10.430836199912191,30.024419658922664,8.331972435700987,40.57822401330061,14.879696747383953,22.621990459885193
0.17,43.604890569554826,15.758060229179065,23.229036850849752,10.451947638954215,30.026665729206176,8.198617405059082,41.2870296686528,15.481878173717133,22.382882690334288
0.18,44.51808944135378,16.441593465580464,23.05000079185753,10.472662191517783,30.029007395352046,8.061655146904647,41.99539640274491,16.114561422091782,22.171299703427138
0.19,45.43832673031095,17.160463609121013,22.898517085264196,10.4930317005694,30.031446683085836,7.921075535613321,42.70230142449435,16.776815171433903,21.987322189872273
0.2,46.364674333138396,17.91397982711728,22.77493557676087,10.513108603872515,30.033985652869045,7.776872844577676,43.40672367126663,17.467672659124606,21.83099777330394
0.21,47.29619694320471,18.701409932510984,22.679573089450823,10.532945873053519,30.036626397571002,7.6290457602247335,44.107645026317236,18.186132775329497,21.702340901892992
0.22,48.23195319187752,19.521981330763715,22.61271309114235,10.552596949101229,30.039371039952144,7.477597376370525,44.804051545305285,18.931161332439054,21.60133288771998
0.23,49.17099675202637,20.374881849348395,22.574605287253974,10.572115680311482,30.04222173026997,7.322535199439704,45.49493466862113,19.70169222861104,21.527921864520476
0.24,50.112377492308426,21.25926079616486,22.565465384450338,10.591556256697027,30.04518064368806,7.163871130264573,46.17929243071659,20.496628806135423,21.482022921460704
0.25,51.055142591719836,22.174229853090786,22.585474734850898,10.610973147112533,30.048249977832736,7.0016214624439135,46.856130667380654,21.314845067892602,21.463518112458196
0.26,51.99833770413887,23.11886427238194,22.634780225294783,10.630421032624966,30.05143195012076,6.835806848048204,47.52446419613927,22.15518714282965,21.472256710979185
0.27,52.94100808023994,24.092203857163298,22.713493999694787,10.649954742935364,30.054728795263074,6.666452285926629,48.18331800651075,23.01647457036748,21.50805529494496
0.28,53.88219972487109,25.09325420891671,22.82169340704778,10.669629189952065,30.0581427625825,6.493587080389836,48.83172841509251,23.897501799981896,21.570698054365458
0.29,54.820960528376006,26.12098765828624,22.959420663934345,10.689499303884464,30.061676113522733,6.317244836583254,49.4687442836821,24.797039443676244,21.659936823073963
0.3,55.75634140806006,27.174344734387297,23.1266830406204,10.709619966881958,30.065331118894658,6.137463390156782,50.09342808473307,25.713835931367903,21.775491604620186
0.31,56.68739746320335,28.25223548916882,23.32345288806603,10.730045946461086,30.069110056163556,5.954284756198433,50.70485702957435,26.646619066060467,21.917050953237162
0.32,57.6131891377149,29.353540784244107,23.54966761912796,10.75083182865625,30.07301520673928,5.767755083557088,51.30212421838512,27.594097555158662,22.084272314255326
0.33,58.532783250458024,30.47711329753317,23.805229559012453,10.772031959257708,30.077048853635937,5.577924631033008,51.884339700476986,28.55496226785863,22.276782200381145
0.34,59.445254170677046,31.621779105744977,24.09000620591283,10.79370037522844,30.08121327860465,5.384847686326447,52.450631550043965,29.527887991319588,22.494176798142323
0.35000000000000003,60.349684964692436,32.78633921588788,24.403830473045293,10.815890737841794,30.085510759342075,5.18858248851427,53.00014691940571,30.511535134652483,22.736022547873326
0.36,61.24516842235759,33.969570750235526,24.74650072045685,10.83865627349291,30.08994356707615,4.989191181795457,53.53205303921647,31.504551116139044,23.001856488838268
0.37,62.13080820167433,35.17022855119291,25.117781072271445,10.862049706687806,30.094513963745214,4.78673972867834,54.045538246276514,32.505572120336204,23.291186909087003
0.38,63.00571990892291,36.38704667326489,25.517401693625914,10.886123196888565,30.099224199346274,4.581297830907815,54.53981296043737,33.513224739212774,23.603493937275935
0.39,63.86903209958442,37.61873979918792,25.945059080477662,10.910928279871396,30.104076509462477,4.372938852123267,55.01411057966259,34.52612751728983,23.938230121700208
0.4,64.71988738961709,38.864004860153514,26.400416429268855,10.936515802448197,30.10907311249635,4.1617397259133915,55.46768845871351,35.54289270322329,24.29482111884026
0.41000000000000003,65.55744347223386,40.121522574404985,26.883104030702313,10.962935862539977,30.114216207112776,3.947780864843755,55.89982878748722,36.56212789340383,24.67266637487336
0.42,66.38087409094032,41.389958975941454,27.392719702338525,10.990237751627557,30.11950796976639,3.73114606648475,56.30983941431537,37.582437646176196,25.071139829885777
0.43,67.1893700915902,42.667967082371774,27.92882927156261,11.01846989247791,30.12495055202153,3.5119224098358046,56.69705473123562,38.60242523870842,25.489590694059565
0.44,67.98214036782207,43.95418846609387,28.490967081092517,11.047679782922136,30.130546078110726,3.290200153427408,57.060836447573564,39.62069429868368,25.927344211585165
0.45,68.75841278810867,45.247254840782084,29.078636530155332,11.077913940563727,30.13629664251976,3.0660726297513965,57.400574334405476,40.63585043803459,26.38370245224809
0.46,69.51743518100304,46.54578978190829,29.69131068412239,11.109217843896781,30.142204307406008,2.8396361287036616,57.71568700476995,41.646503014971245,26.857945185456096
0.47000000000000003,70.25847619134487,47.84841029558791,30.32843287694339,11.14163588086836,30.14827110032067,2.6109897873588648,58.005622569629104,42.65126671901024,27.349330707080462
0.48,70.98082617095476,49.15372848853877,30.989417375714904,11.175211295237926,30.1544990118225,2.380235470546898,58.26985930826093,43.6487632480155,27.857096735350968
0.49,71.6837980881867,50.46035331552727,31.673650101291575,11.20998613165418,30.1608899930222,2.1474776436490863,58.507906339653886,44.63762305193012,28.380461365191934
0.5,72.36672833058788,51.766892203202794,32.38048934494019,11.246001186889307,30.167445953377477,1.9128232503867926,58.719304190421724,45.616486931428824,28.91862398538378
0.51,73.02897740198974,53.07195254666237,33.10926647594798,11.283295967171588,30.17416875873794,1.6763815961809576,58.9036252621765,46.5840074894829,29.470766154197783
0.52,73.66993083116428,54.37414360662826,33.859286812029424,11.321908632784037,30.1810602288238,1.4382642023120586,59.06047445525955,47.53885098511459,30.03605269387156
0.53,74.28899989898164,55.67207815395449,34.62983044052213,11.361875953267099,30.1881221351493,1.198584673853842,59.18948963010692,48.47969890927898,30.613632682136636
0.54,74.8856222670328,56.9643739749286,35.42015301095707,11.403233268382001,30.195356199188087,0.9574585753183524,59.290341981263836,49.4052494085506,31.20264038610233
0.55,75.45926270311526,58.249655616037025,36.22948665773668,11.44601444305087,30.20276409025467,0.715003286009712,59.36273646540086,50.314218934116354,31.802196348385273
0.56,76.0094137761086,59.526556125575745,37.05704095373612,11.490251823946194,30.21034742344309,0.4713378528109348,59.4064121897163,51.2053438730315,32.41140849264724
0.5700000000000001,76.5355964296995,60.793718611363985,37.902003816104695,11.535976203208401,30.21810775786874,0.22658285402134337,59.42114269687872,52.07738198297074,33.02937314644719
0.58,77.03736050102907,62.049797739754666,38.76354241513052,11.583216785316614,30.226046595036802,-0.019139734874673298,59.4067361952071,52.92911375604211,33.655176049749485
